TEAM,H/A,PTS,SCORE,,,PTS,OPPONENT,W/D/L,DATE
Stoke City FC,H,3,3,-,1,3,Derby County FC,W,08/09/2025
Stoke City FC,A,6,3,-,0,6,Sheffield Wednesday FC,W,08/16/2025
Stoke City FC,A,9,2,-,1,8,Southampton FC,W,08/23/2025
Stoke City FC,H,9,0,-,1,8,West Bromwich Albion FC,L,08/30/2025
Stoke City FC,H,12,1,-,0,9,Birmingham City FC,W,09/13/2025
Stoke City FC,A,12,0,-,1,9,Queens Park Rangers FC,L,09/20/2025
Stoke City FC,H,13,1,-,1,10,Norwich City FC,D,09/27/2025
Stoke City FC,A,14,0,-,0,10,Middlesbrough FC,D,09/30/2025
Stoke City FC,A,15,1,-,1,11,Blackburn Rovers FC,D,10/04/2025
Stoke City FC,H,18,1,-,0,12,Wrexham AFC,W,10/18/2025
Stoke City FC,A,18,0,-,2,12,Millwall FC,L,10/21/2025
Stoke City FC,A,21,1,-,0,13,Portsmouth FC,W,10/25/2025
Stoke City FC,H,24,5,-,1,18,Bristol City FC,W,11/01/2025
Stoke City FC,A,27,3,-,0,21,Oxford United FC,W,11/04/2025
Stoke City FC,H,27,0,-,1,21,Coventry City FC,L,11/08/2025
Stoke City FC,A,27,1,-,2,22,Leicester City FC,L,11/22/2025
Stoke City FC,H,30,3,-,0,25,Charlton Athletic FC,W,11/25/2025
Stoke City FC,H,30,1,-,2,26,Hull City AFC,L,11/29/2025
Stoke City FC,A,30,0,-,4,26,Sheffield United FC,L,12/06/2025
Stoke City FC,A,30,0,-,1,26,Ipswich Town FC,L,12/10/2025
Stoke City FC,H,33,2,-,1,28,Swansea City AFC,W,12/13/2025
Stoke City FC,A,33,0,-,1,28,Watford FC,L,12/20/2025
Stoke City FC,H,34,0,-,0,28,Preston North End FC,D,12/26/2025
Stoke City FC,H,34,1,-,2,29,Sheffield United FC,L,12/29/2025
Stoke City FC,A,37,1,-,0,30,Hull City AFC,W,01/01/2026
Stoke City FC,A,40,2,-,0,32,Norwich City FC,W,01/04/2026
Stoke City FC,H,40,None,-,None,32,Queens Park Rangers FC,,01/17/2026
Stoke City FC,H,40,None,-,None,32,Middlesbrough FC,,01/21/2026
Stoke City FC,A,40,None,-,None,32,Birmingham City FC,,01/24/2026
Stoke City FC,H,40,None,-,None,32,Southampton FC,,01/31/2026
Stoke City FC,A,40,None,-,None,32,West Bromwich Albion FC,,02/07/2026
Stoke City FC,A,40,None,-,None,32,Charlton Athletic FC,,02/14/2026
Stoke City FC,H,40,None,-,None,32,Leicester City FC,,02/21/2026
Stoke City FC,H,40,None,-,None,32,Oxford United FC,,02/25/2026
Stoke City FC,A,40,None,-,None,32,Coventry City FC,,02/28/2026
Stoke City FC,A,40,None,-,None,32,Swansea City AFC,,03/07/2026
Stoke City FC,H,40,None,-,None,32,Ipswich Town FC,,03/10/2026
Stoke City FC,H,40,None,-,None,32,Watford FC,,03/14/2026
Stoke City FC,A,40,None,-,None,32,Preston North End FC,,03/21/2026
Stoke City FC,H,40,None,-,None,32,Sheffield Wednesday FC,,04/03/2026
Stoke City FC,A,40,None,-,None,32,Derby County FC,,04/06/2026
Stoke City FC,H,40,None,-,None,32,Blackburn Rovers FC,,04/11/2026
Stoke City FC,A,40,None,-,None,32,Wrexham AFC,,04/18/2026
Stoke City FC,H,40,None,-,None,32,Millwall FC,,04/21/2026
Stoke City FC,H,40,None,-,None,32,Portsmouth FC,,04/25/2026
Stoke City FC,A,40,None,-,None,32,Bristol City FC,,05/02/2026
